"Sid","Sleep Quality","Time in Bed","Wake up","Sleep Notes","Heart Rate","Worked Out","Stressed","Late Meal","Caffeinated","Minutes in Bed"
"341",87,"8:00","NA","Drank coffee:Drank tea:Stressful day:Worked out",62,"TRUE","TRUE","FALSE","HIGH",480
"342",93,"7:51","NA","Drank coffee:Drank tea",64,"FALSE","FALSE","FALSE","HIGH",471
"343",74,"6:36","NA","Drank coffee:Drank tea",62,"FALSE","FALSE","FALSE","HIGH",396
"344",83,"7:30","NA","Drank coffee:Drank tea:Worked out",57,"TRUE","FALSE","FALSE","HIGH",450
"345",74,"6:20","NA","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",380
"346",80,"7:41","NA","Drank coffee:Drank tea:Worked out",61,"TRUE","FALSE","FALSE","HIGH",461
"347",83,"6:59","NA","Drank coffee:Drank tea:Worked out",57,"TRUE","FALSE","FALSE","HIGH",419
"348",100,"8:45","NA","Drank coffee:Drank tea:Worked out",58,"TRUE","FALSE","FALSE","HIGH",525
"349",81,"8:33","NA","Drank tea",58,"FALSE","FALSE","FALSE","LOW",513
"350",85,"8:40","NA","Drank coffee:Worked out",60,"TRUE","FALSE","FALSE","LOW",520
"351",83,"9:16","NA","Drank coffee:Worked out",63,"TRUE","FALSE","FALSE","LOW",556
"352",79,"7:14","NA","Drank coffee:Stressful day",64,"FALSE","TRUE","FALSE","LOW",434
"353",76,"6:30","NA","Drank coffee:Worked out",58,"TRUE","FALSE","FALSE","LOW",390
